Phages designation,Escherichia_coli_vB_Eco1035,Escherichia_coli_vB_Eco1008,Escherichia_coli_vB_Eco1017,Escherichia_coli_vB_Eco1043,Escherichia_coli_vB_Eco1038,Escherichia_coli_vB_Eco1033,Escherichia_coli_vB_Eco1022,Escherichia_coli_vB_Eco1016,Escherichia_coli_vB_Eco1007,Escherichia_coli_vB_Eco1011,Escherichia_coli_vB_Eco1018,Escherichia_coli_vB_Eco1010,Escherichia_coli_vB_Eco1034,Escherichia_coli_vB_Eco1013,Escherichia_coli_vB_Eco1024,Escherichia_coli_vB_Eco1031,Escherichia_coli_vB_Eco1014,Escherichia_coli_vB_Eco1027,Escherichia_coli_vB_Eco1019,Escherichia_coli_vB_Eco1026,Escherichia_coli_vB_Eco1025,Escherichia_coli_vB_Eco1020,Staphylococcus_virus_K,Staphylococcus_virus_71,Staphylococcus_virus_3a,Staphylococcus_phage_44AHJD,Staphylococcus_phage_P68,Staphylococcus_phage_Sb-1,Acinetobacter baumannii phi3060,Acinetobacter baumannii phi3049,Acinetobacter baumannii phi3071,Acinetobacter baumannii phi3043,Acinetobacter baumannii phi3072,Acinetobacter baumannii phi3003,Pseudomonas_aeruginosa_4052,Pseudomonas_aeruginosa_4071,Pseudomonas_aeruginosa_4024,Pseudomonas_aeruginosa_4058,Pseudomonas_aeruginosa_4051,Pseudomonas_aeruginosa_4056,Pseudomonas_aeruginosa_4060,Pseudomonas_aeruginosa_4072,Pseudomonas_aeruginosa_4059,Pseudomonas_aeruginosa_4065,Pseudomonas_aeruginosa_4061,Pseudomonas_aeruginosa_4064,Pseudomonas_aeruginosa_4068,Pseudomonas_aeruginosa_4057,Pseudomonas_aeruginosa_4025,Pseudomonas_aeruginosa_4063,Pseudomonas_aeruginosa_4002,Pseudomonas_aeruginosa_4047,Pseudomonas_aeruginosa_4032,Pseudomonas_aeruginosa_4031,Pseudomonas_aeruginosa_4049,Pseudomonas_aeruginosa_4070,Pseudomonas_aeruginosa_4026,Pseudomonas_aeruginosa_4020,Pseudomonas_aeruginosa_4008,Pseudomonas_aeruginosa_4067,Pseudomonas_aeruginosa_4069,Pseudomonas_aeruginosa_4066,Pseudomonas_aeruginosa_4029,Pseudomonas_aeruginosa_4005,Pseudomonas_aeruginosa_4003,Pseudomonas_aeruginosa_4030,Pseudomonas_aeruginosa_4021,Pseudomonas_aeruginosa_4045,Pseudomonas_aeruginosa_4017,Staphylococcus_virus_77
Escherichia_coli_vB_Eco1018,0.09010340334791,0.089138627305742,0.087106544627947,0.087744909823365,0.088861469449706,0.095136015493485,0.282302943758516,0.090441774571809,0.087423927436286,0.093361683719152,1,0.087384799885125,0.26448661824934,0.092556040454,0.090145874836183,0.089437670460402,0.091347706479468,0.09117046420549,0.288547183757119,0.089272671657157,0.098667750231724,0.081538124281515,0.09013180110112,0.082719647508113,0.085814476882398,0.073205940347362,0.07438772210093,0.089274210653026,0.084169654003371,0.085379567204789,0.086821508653337,0.085910891763571,0.086989352558893,0.086889504019942,0.081146379164688,0.085182845387376,0.08301778629899,0.080867379792112,0.083182037205726,0.081968810945547,0.086907167392283,0.086627159562483,0.081905431439777,0.081761885827151,0.086538374007765,0.08658745083402,0.082780100731157,0.093418625637442,0.08325321605228,0.084236212310908,0.139337123701303,0.146319331945823,0.142822434827137,0.138103795548601,0.081491544962485,0.150156366810865,0.147933273030127,0.146947674824303,0.149201129191019,0.077206005362063,0.077346924126965,0.150653079423773,0.147766905892404,0.149874899638715,0.147243036825811,0.143296478177616,0.084463958770723,0.087659455649977,0.14362706515201,0.082079948484104
Escherichia_coli_vB_Eco1010,0.089635688429353,0.089739467006718,0.079176569912186,0.274107058665106,0.088448284623876,0.08037892730275,0.078316691407573,0.07910054667278,0.995370023325721,0.077022787099865,0.102277361018609,1,0.078110691136344,0.079916079947903,0.090361091401419,0.369938616850392,0.090854489820038,0.088914290537031,0.090629756719896,0.083778030802686,0.089681155159723,0.081285219850778,0.088529118295703,0.079752081003497,0.083178341143573,0.072127316627154,0.073254550783426,0.087742828973674,0.075580451655168,0.076853450493496,0.078681322411079,0.077984087108097,0.084984962948255,0.079490767543175,0.077303020286929,0.083518310646012,0.083468882225294,0.076245518130446,0.077210318327503,0.076764594078146,0.083548190288471,0.083245601907104,0.076676700958888,0.078484152411013,0.080234212591262,0.080147116200379,0.076916877908544,0.089260741004536,0.081869613133933,0.083923888280731,0.081169094978327,0.081210531199531,0.08113457624911,0.079965268781301,0.076945809405961,0.081968464236934,0.081633512964705,0.081294738584643,0.081650859846855,0.075413741671215,0.077187466272232,0.081810696289183,0.08087247503744,0.081655080788596,0.081362182287464,0.07983391326043,0.078214119046056,0.087298743946706,0.080632590418195,0.077596742107491
Escherichia_coli_vB_Eco1034,0.094892582563117,0.091864714523521,0.105559571317326,0.085564515146089,0.091927783468716,0.117513732536022,0.748847441353657,0.116818938796897,0.084819029583008,0.121137659994258,0.659098706004704,0.08467468374119,1,0.119163680826229,0.100811533433891,0.088402578538269,0.093643400879971,0.097766742910167,0.080483227926679,0.113213619009216,0.118894445289308,0.08043742681417,0.097528187838841,0.084840146432707,0.086194514841996,0.076412895862249,0.07703413448957,0.095248968780788,0.103815465496852,0.105636094191794,0.106169068795485,0.105828612998285,0.086195692522744,0.107352315121937,0.090903380903202,0.089620305624122,0.088356911649825,0.089945884481956,0.092331744093274,0.091401396255679,0.091951361349825,0.092783699838234,0.091321309207452,0.091983142291953,0.090462918109722,0.089687202742302,0.090312117164677,0.101211622708754,0.088417868296357,0.088696502749848,0.0831576496926,0.084273898133068,0.082802488313576,0.082635588199249,0.091185319035932,0.084862886188843,0.086112224327403,0.084240454634929,0.085054894688378,0.080261927915419,0.080151050752318,0.085030377288753,0.08396272995048,0.086362194710102,0.084185819712856,0.081505839021782,0.104599386909002,0.086941253619502,0.084467293371262,0.086038309910054
Escherichia_coli_vB_Eco1013,0.084104236225903,0.082521979772027,0.329705033442806,0.077375913882973,0.083023319415801,0.859054518050726,0.106888489239567,0.85403385290415,0.080878354335613,0.816794985516965,0.120014496400579,0.080861504344936,0.105784491769023,1,0.084890516443422,0.080131152457016,0.08293411780513,0.082275677815484,0.069706164848563,0.092577939011507,0.10526143015535,0.074465175683715,0.083631783738269,0.073808157742244,0.077029092075779,0.069452399545407,0.070720827076575,0.081952271005946,0.085277523962966,0.089540181414882,0.093367867196299,0.091571532253607,0.075456216742293,0.092874544108125,0.081038632033686,0.085379449715565,0.082713879124051,0.080379253580347,0.079282676800328,0.082790736393214,0.078859278252887,0.079370623953198,0.083595314362064,0.08172320182132,0.081751460892028,0.081668750082782,0.078701040516043,0.090938689414142,0.08254064752634,0.085986847362675,0.074374430266764,0.074964905875871,0.074276493345894,0.073537202053704,0.087378877253111,0.075119695130326,0.074426276372943,0.074757963993288,0.075281740805609,0.073202777242643,0.071657885941823,0.074658542036115,0.074805093378898,0.074759872147865,0.075075748148574,0.073382098635507,0.092453271715263,0.076365088299011,0.074846522685444,0.076984876217662
Escherichia_coli_vB_Eco1024,0.106678819205362,0.102198088486268,0.081877800069866,0.083610761921578,0.100321615222486,0.082294946221702,0.084227631338585,0.081228263636862,0.084958592955799,0.081850035553809,0.09457155459277,0.084887480616636,0.08433170315911,0.082619813720492,1,0.085629347814354,0.107613845884598,0.100035436268266,0.07797006405744,0.080367250025569,0.089682333081815,0.082241551099635,0.097412699706523,0.083899474069775,0.083947342654396,0.077325879567217,0.078853266947798,0.095805472467594,0.090707779322568,0.086987603454762,0.091784684595651,0.093582001285638,0.085074147389389,0.095035277408807,0.081635283311165,0.085002297029139,0.084223762829094,0.080564261721237,0.081974574823023,0.081282860720304,0.102671846465119,0.103203136673566,0.081283120667854,0.081603240076789,0.099504161932419,0.099427009427584,0.081951300031809,0.098285085482499,0.083686152447212,0.084490814947425,0.082689647288242,0.083313813935551,0.08305988483856,0.082489247729582,0.081558227486443,0.083839419364115,0.084081277918295,0.08360352674096,0.083928346550791,0.077118054126938,0.078080123313589,0.083853338947261,0.083630183709982,0.084126545181876,0.083806218594682,0.083066416244445,0.081644086977477,0.084595313444562,0.083438540543911,0.084719254940812
Escherichia_coli_vB_Eco1031,0.083601570660656,0.083291386625726,0.07595816574364,0.322252589799925,0.081994683280694,0.076283114106144,0.078546167506099,0.075258258525625,0.385512865650077,0.073640400804485,0.109132930701264,0.385820652180396,0.080757512563785,0.07648717394423,0.092107912531768,1,0.083506180176817,0.093140469120788,0.090742232294045,0.080190386806125,0.084904456609027,0.079586966725964,0.086682763575117,0.077215119331773,0.074871379043919,0.068161942932872,0.069137969721815,0.084334330209042,0.082022807201464,0.074077896775006,0.076154532515067,0.073862061380038,0.077583606552638,0.074158033154538,0.074049029294747,0.075869689393299,0.074621978544214,0.072670522881211,0.074817664029786,0.073340966581154,0.077129456675091,0.080106300681787,0.073133058529879,0.075851742612807,0.077148523299636,0.077258194148452,0.073962983834036,0.086474940005428,0.074117344722549,0.076094323183532,0.075570560894766,0.077056645310237,0.076918527371827,0.07592695740055,0.075611257020394,0.076838895359433,0.077053227171025,0.077619269981455,0.07661168531183,0.071770624905148,0.072927482548425,0.077224941116193,0.077190183785031,0.076949232754195,0.076408932729614,0.076242409811672,0.075944284356635,0.085580358163357,0.075175855385349,0.07484751081631
Escherichia_coli_vB_Eco1014,0.557953099158049,0.50559634088693,0.0727992201879,0.07525734827061,0.442390011556159,0.072438149832799,0.074075563226751,0.071605509752994,0.075442446197814,0.072879542465149,0.082452592382503,0.075543255195312,0.073824937982266,0.072830942211725,0.095117589030587,0.074455022395535,1,0.089650180235394,0.070832402602702,0.07266652172315,0.080617794247561,0.071723772891883,0.086988701118955,0.076507700480016,0.077080621989431,0.070216628656901,0.072273647654411,0.086499014953247,0.072200140249965,0.072428946373736,0.074252955000597,0.072411467263023,0.074709126212946,0.073769696949082,0.073180271310792,0.078213353057443,0.077648556464591,0.072908016695681,0.073408589314615,0.073898901113213,0.079761384510384,0.079813442405552,0.073970668749926,0.073661138100494,0.076544966155697,0.076582800815432,0.073623799900388,0.088316828270445,0.07766735917882,0.078587593941172,0.0742580475044,0.07508467343372,0.074917164313938,0.074687409305701,0.073584012048601,0.07514248001963,0.076171506625371,0.075390881125333,0.076037507604767,0.069877664343989,0.070659293959182,0.075274246272982,0.075279861398992,0.076472392449241,0.075730504585534,0.074448846661235,0.071877128004655,0.07488486369212,0.075245252848155,0.077245397101492
Escherichia_coli_vB_Eco1027,0.111364514482545,0.112243845341245,0.085066426036795,0.089792098816452,0.10831703908215,0.084637286958206,0.088241144892441,0.082626482367223,0.088938114985753,0.08438353583008,0.100708746064537,0.088947627309143,0.088450542932846,0.084441079578325,0.115786750694732,0.093604920587878,0.112262703184011,1,0.083632514627564,0.086562928735175,0.094599598444594,0.084080168283946,0.104363023664701,0.090701206457711,0.091874359569266,0.082380391816902,0.084222014313795,0.102012858391062,0.088424979295644,0.084868973996734,0.087235299617856,0.08545892746551,0.088979194265024,0.086395706537653,0.087539651105097,0.092828635609927,0.09166351512307,0.086381239420179,0.08750204255922,0.087387868555811,0.092890618391441,0.093477790467712,0.087165740176423,0.086788166435955,0.090879779981172,0.091000690510594,0.086791762716267,0.108332246220972,0.091424975548678,0.092207676704635,0.08808085875843,0.088862408657102,0.088375369982623,0.087393633710102,0.087201819454943,0.089796401374057,0.089157554995052,0.089156659800913,0.089995307942366,0.082497724002533,0.082473909436123,0.08966693990546,0.088926600896231,0.089171166954158,0.089519354552543,0.087532193460071,0.085267634255126,0.089377617907443,0.088739283570565,0.09069117380032
Escherichia_coli_vB_Eco1019,0.105444534841433,0.104301912678931,0.091197917542152,0.115865506771947,0.102866537454121,0.091984330734198,0.090986519106546,0.089902269701937,0.11235866595328,0.092902624223745,0.926106561636827,0.11235866595328,0.090779464951348,0.092217873389155,0.100913937088065,0.113069121543348,0.10882795846408,0.102062993885898,1,0.093251982877321,0.10682899747409,0.09574562836039,0.100885355334333,0.0966372935026,0.107567287760172,0.084854267920667,0.085558802878712,0.100520717123958,0.090242129491694,0.090567109496257,0.09106968697457,0.091642451121926,0.093564201026339,0.09216417918098,0.092812926865485,0.096119499149545,0.094442810442114,0.093120764340333,0.094599236457039,0.092712356313475,0.100813210464265,0.10048661346888,0.092712356313475,0.093259954420682,0.097510551599737,0.097820215569757,0.09364290157921,0.107733073000974,0.093896297110194,0.095169456683848,0.092697456748571,0.095936796100174,0.095232513985394,0.093176226768193,0.092380499428293,0.095573029546313,0.095703548661787,0.095468171375504,0.096412399935829,0.092765384917998,0.091438632716677,0.095477703289148,0.095048704072952,0.0957099510647,0.095353826803976,0.0948686601134,0.092290890626846,0.116164735369951,0.092698194841316,0.092526571375168
Escherichia_coli_vB_Eco1026,0.072692209467349,0.072144308536297,0.089043594993706,0.077147615270729,0.072504763715358,0.089306614306892,0.107386003020661,0.088775316167676,0.073455417624381,0.088005908615586,0.107984060489012,0.073455417624381,0.106544508964101,0.089046704139293,0.071384988195428,0.082000721640001,0.074068259199888,0.073939268975757,0.060501951773482,1,0.957264399018384,0.086023466636063,0.07198342103606,0.064373826413929,0.068397580371209,0.057264660367875,0.059707953124877,0.070023685840729,0.131870109261595,0.139303554389846,0.162572553218324,0.143364659370223,0.065632222650653,0.146812196855992,0.066964384594941,0.072485063138658,0.070610777113824,0.065786914127817,0.066484169342246,0.067203620286291,0.06996478261463,0.069842912732334,0.067163538693346,0.074573497304639,0.070310201862799,0.070138509406454,0.066216141818456,0.075899568427745,0.070828802332102,0.073534071455835,0.068136925557051,0.069027727913585,0.06786932481249,0.067837183464233,0.080365414326719,0.068809958793131,0.069232283107178,0.068862057340886,0.067552142470874,0.065676567920762,0.067776485271189,0.069037121383215,0.068936184258705,0.069265599782174,0.066774869739983,0.066929151486587,0.145339587661054,0.068319798699378,0.068553195386736,0.069568879159801
